order_id,week,comment
GC-102232,1,"Too many ingredients to prep, more work than it's worth."
GC-113654,7,Overpriced compared to just buying groceries myself.
GC-105319,8,Overpriced compared to just buying groceries myself.
GC-107316,5,Quality went downhill and I'm done with it. Never again.
GC-106192,1,Overpriced compared to just buying groceries myself.
GC-107716,5,Going through some personal stuff right now and need to step back for now. Loved the meals. Will resubscribe when things settle.
GC-112365,6,stop
GC-113037,6,I absolutely love these meals but money is really tight right now and I can't afford it this month. Looking forward to returning.
GC-104851,4,"Too many ingredients to prep, more work than it's worth."
GC-113949,6,The meals just weren't very tasty. Cancelling for good.
GC-106911,8,I absolutely love these meals but money is really tight right now and I can't afford it this month.
GC-105926,7,Honestly just not impressed with the food quality.
GC-108039,8,Health issue means I need a different diet temporarily. Wonderful food otherwise. Looking forward to returning.
GC-104521,2,Packaging waste was excessive and it's not worth the price.
GC-104281,2,Between jobs at the moment so I have to watch my budget. Loved the organic ingredients. Will resubscribe when things settle.
GC-104129,2,Money's tight after some unexpected bills. The recipes are wonderful though. Looking forward to returning.
GC-105644,5,quit
GC-101803,4,The recipes got really repetitive and boring after a while.
GC-104195,4,Found a cheaper service that I like better.
GC-100436,5,Overpriced compared to just buying groceries myself.
GC-101515,4,Between jobs at the moment so I have to watch my budget. Loved the organic ingredients. Will resubscribe when things settle.
GC-109455,8,"My schedule got really hectic this semester, just too busy to keep up. Great variety though. Will resubscribe when things settle."
GC-110249,2,The meals just weren't very tasty. Cancelling for good.
GC-112824,1,Quality went downhill and I'm done with it. Never again.
GC-107058,3,Portions were small and the seasoning was bland. Disappointed.
GC-102703,8,Honestly just not impressed with the food quality.
GC-107758,7,Way too expensive for what you get. Not worth it.
GC-112978,3,Money's tight after some unexpected bills. The recipes are wonderful though. Will resubscribe when things settle.
GC-108292,5,Started a new job with crazy hours and I have no time to cook right now. The meals were delicious. Hope to be back soon!
GC-112142,7,Quality went downhill and I'm done with it. Never again.
GC-105883,4,Honestly just not impressed with the food quality.
GC-108944,1,Money's tight after some unexpected bills. The recipes are wonderful though.
GC-104550,7,Portions were small and the seasoning was bland. Disappointed.
GC-106213,6,Packaging waste was excessive and it's not worth the price.
GC-110178,3,Honestly just not impressed with the food quality.
GC-104897,2,Overpriced compared to just buying groceries myself.
GC-105215,8,Packaging waste was excessive and it's not worth the price.
GC-105374,7,The recipes got really repetitive and boring after a while.
GC-107625,2,The recipes got really repetitive and boring after a while.
GC-111644,5,.
GC-104480,1,Found a cheaper service that I like better.
GC-103323,4,I absolutely love these meals but money is really tight right now and I can't afford it this month. Hope to be back soon!
GC-102412,5,Going through a medical treatment and can't manage cooking at the moment. Loved the quality. Will resubscribe when things settle.
GC-104803,4,Overpriced compared to just buying groceries myself.
GC-114068,5,New shift means I'm never home for dinner. I really enjoyed the recipes. Looking forward to returning.
GC-107794,3,Overpriced compared to just buying groceries myself.
GC-100475,4,Money's tight after some unexpected bills. The recipes are wonderful though.
GC-100873,2,Way too expensive for what you get. Not worth it.
GC-111736,1,Overpriced compared to just buying groceries myself.
GC-104787,4,Honestly just not impressed with the food quality.
GC-114071,8,Way too expensive for what you get. Not worth it.
GC-103885,6,Honestly just not impressed with the food quality.
GC-106351,8,Money's tight after some unexpected bills. The recipes are wonderful though. I'll come back once I can.
GC-102271,8,Portions were small and the seasoning was bland. Disappointed.
GC-101727,8,Money's tight after some unexpected bills. The recipes are wonderful though. I'll come back once I can.
GC-103561,2,"My schedule got really hectic this semester, just too busy to keep up. Great variety though. Looking forward to returning."
GC-100036,5,Quality went downhill and I'm done with it. Never again.
GC-109845,6,The meals just weren't very tasty. Cancelling for good.
GC-112874,3,Found a cheaper service that I like better.
GC-102061,6,Overpriced compared to just buying groceries myself.
GC-111435,4,Packaging waste was excessive and it's not worth the price.
GC-112104,1,Honestly just not impressed with the food quality.
GC-101116,5,Way too expensive for what you get. Not worth it.
GC-108889,2,stop
GC-109348,5,Overpriced compared to just buying groceries myself.
GC-103642,3,"On the road for a long business trip, won't be home to cook. Really enjoyed it. Will resubscribe when things settle."
GC-101397,6,Quality went downhill and I'm done with it. Never again.
GC-111831,8,Going through some personal stuff right now and need to step back for now. Loved the meals. I'll come back once I can.
GC-103891,4,Portions were small and the seasoning was bland. Disappointed.
GC-103249,2,I absolutely love these meals but money is really tight right now and I can't afford it this month. Will resubscribe when things settle.
GC-107072,1,Overpriced compared to just buying groceries myself.
GC-106452,5,The meals just weren't very tasty. Cancelling for good.
GC-105580,5,n/a
GC-108187,4,Honestly just not impressed with the food quality.
GC-103255,8,New shift means I'm never home for dinner. I really enjoyed the recipes. Will resubscribe when things settle.
GC-102314,3,The meals just weren't very tasty. Cancelling for good.
GC-100820,5,no comment
GC-113991,8,done
GC-107327,8,The meals just weren't very tasty. Cancelling for good.
GC-109087,8,none
GC-112683,4,Going through some personal stuff right now and need to step back for now. Loved the meals. Looking forward to returning.
GC-109438,7,The recipes got really repetitive and boring after a while.
GC-112254,7,Honestly just not impressed with the food quality.
GC-112209,2,"Too many ingredients to prep, more work than it's worth."
GC-113389,6,Overpriced compared to just buying groceries myself.
GC-111843,4,"Too many ingredients to prep, more work than it's worth."
GC-114109,6,Moving to a new city next month and not sure about delivery there. The food was delicious.
GC-105822,7,Honestly just not impressed with the food quality.
GC-109668,5,Found a cheaper service that I like better.
GC-112947,4,The recipes got really repetitive and boring after a while.
GC-110403,4,Honestly just not impressed with the food quality.
GC-106436,5,Overpriced compared to just buying groceries myself.
GC-106216,1,Out of town for work for a while. Loved the variety and seasoning. Hope to be back soon!
GC-104182,7,Overpriced compared to just buying groceries myself.
GC-109153,2,The recipes got really repetitive and boring after a while.
GC-100153,2,Way too expensive for what you get. Not worth it.
GC-107010,3,The recipes got really repetitive and boring after a while.
GC-113007,8,.
GC-109483,4,Honestly just not impressed with the food quality.
GC-113730,3,Quality went downhill and I'm done with it. Never again.
GC-113214,7,Between jobs at the moment so I have to watch my budget. Loved the organic ingredients. Hope to be back soon!
GC-113434,3,The recipes got really repetitive and boring after a while.
GC-106691,4,Quality went downhill and I'm done with it. Never again.
GC-101937,2,Overpriced compared to just buying groceries myself.
GC-100459,4,Way too expensive for what you get. Not worth it.
GC-107793,2,Quality went downhill and I'm done with it. Never again.
GC-110257,2,"Too many ingredients to prep, more work than it's worth."
GC-102466,3,stop
GC-110438,7,Honestly just not impressed with the food quality.
GC-109435,4,Money's tight after some unexpected bills. The recipes are wonderful though. I'll come back once I can.
GC-104874,3,none
GC-107536,1,Way too expensive for what you get. Not worth it.
GC-106834,3,"Too many ingredients to prep, more work than it's worth."
GC-105102,7,Packaging waste was excessive and it's not worth the price.
GC-110720,1,Way too expensive for what you get. Not worth it.
GC-103061,6,The meals just weren't very tasty. Cancelling for good.
GC-112702,7,Portions were small and the seasoning was bland. Disappointed.
GC-106874,3,Portions were small and the seasoning was bland. Disappointed.
GC-106017,2,The recipes got really repetitive and boring after a while.
GC-101933,6,"My schedule got really hectic this semester, just too busy to keep up. Great variety though. Looking forward to returning."
GC-103871,8,Honestly just not impressed with the food quality.
GC-112119,8,Overpriced compared to just buying groceries myself.
GC-112624,1,Health issue means I need a different diet temporarily. Wonderful food otherwise. I'll come back once I can.
GC-109972,5,Quality went downhill and I'm done with it. Never again.
GC-110553,2,The meals just weren't very tasty. Cancelling for good.
GC-112411,4,The recipes got really repetitive and boring after a while.
GC-106870,7,Portions were small and the seasoning was bland. Disappointed.
GC-109039,8,Quality went downhill and I'm done with it. Never again.
GC-106063,8,Packaging waste was excessive and it's not worth the price.
GC-106199,8,The meals just weren't very tasty. Cancelling for good.
GC-107123,4,Honestly just not impressed with the food quality.
GC-108669,6,Started a new job with crazy hours and I have no time to cook right now. The meals were delicious. Will resubscribe when things settle.
GC-102269,6,I absolutely love these meals but money is really tight right now and I can't afford it this month. Looking forward to returning.
GC-112875,4,I absolutely love these meals but money is really tight right now and I can't afford it this month.
GC-113763,4,Way too expensive for what you get. Not worth it.
GC-103186,3,Quality went downhill and I'm done with it. Never again.
GC-102305,2,Honestly just not impressed with the food quality.
GC-105348,5,Going through some personal stuff right now and need to step back for now. Loved the meals.
GC-112721,2,.
GC-112821,6,Way too expensive for what you get. Not worth it.
GC-112459,4,The meals just weren't very tasty. Cancelling for good.
GC-104495,8,Way too expensive for what you get. Not worth it.
GC-112224,1,"Too many ingredients to prep, more work than it's worth."
GC-109377,2,Packaging waste was excessive and it's not worth the price.
GC-100210,3,Way too expensive for what you get. Not worth it.
GC-100376,1,Way too expensive for what you get. Not worth it.
GC-111158,7,"Too many ingredients to prep, more work than it's worth."
GC-103081,2,Going through a medical treatment and can't manage cooking at the moment. Loved the quality. Will resubscribe when things settle.
GC-105020,5,Portions were small and the seasoning was bland. Disappointed.
GC-112078,7,The recipes got really repetitive and boring after a while.
GC-105906,3,.
GC-111500,5,Going through some personal stuff right now and need to step back for now. Loved the meals.
GC-103655,8,Portions were small and the seasoning was bland. Disappointed.
GC-102746,3,Way too expensive for what you get. Not worth it.
GC-106961,2,Packaging waste was excessive and it's not worth the price.
GC-110144,1,"Too many ingredients to prep, more work than it's worth."
GC-108784,1,Way too expensive for what you get. Not worth it.
GC-101081,2,Found a cheaper service that I like better.
GC-100077,6,The recipes got really repetitive and boring after a while.
GC-103956,5,Between jobs at the moment so I have to watch my budget. Loved the organic ingredients.
GC-101251,4,The meals just weren't very tasty. Cancelling for good.
GC-103905,2,The recipes got really repetitive and boring after a while.
GC-110155,4,Portions were small and the seasoning was bland. Disappointed.
GC-103424,1,.
GC-105169,2,Portions were small and the seasoning was bland. Disappointed.
GC-114223,8,Started a new job with crazy hours and I have no time to cook right now. The meals were delicious. Hope to be back soon!
GC-109108,5,Packaging waste was excessive and it's not worth the price.
GC-105076,5,I absolutely love these meals but money is really tight right now and I can't afford it this month.
GC-103775,8,"Too many ingredients to prep, more work than it's worth."
GC-106477,6,done
GC-106637,6,Health issue means I need a different diet temporarily. Wonderful food otherwise.
GC-104421,6,Overpriced compared to just buying groceries myself.
GC-111792,1,Way too expensive for what you get. Not worth it.
GC-112833,2,Quality went downhill and I'm done with it. Never again.
GC-105650,3,New shift means I'm never home for dinner. I really enjoyed the recipes.
GC-106094,7,The recipes got really repetitive and boring after a while.
GC-100219,4,Found a cheaper service that I like better.
GC-109920,1,Quality went downhill and I'm done with it. Never again.
GC-104678,7,Way too expensive for what you get. Not worth it.
GC-106515,4,I absolutely love these meals but money is really tight right now and I can't afford it this month. I'll come back once I can.
GC-102814,7,"The food quality is great, just need to cut back on spending until my finances recover."
GC-108646,7,The recipes got really repetitive and boring after a while.
GC-105885,6,Money's tight after some unexpected bills. The recipes are wonderful though. Will resubscribe when things settle.
GC-104621,6,"On the road for a long business trip, won't be home to cook. Really enjoyed it."
GC-100172,5,no comment
GC-100184,1,Way too expensive for what you get. Not worth it.
GC-111872,1,"Too many ingredients to prep, more work than it's worth."
GC-113131,4,The recipes got really repetitive and boring after a while.
GC-102844,5,Money's tight after some unexpected bills. The recipes are wonderful though. Hope to be back soon!
GC-113603,4,Portions were small and the seasoning was bland. Disappointed.
GC-109933,6,Overpriced compared to just buying groceries myself.
GC-105369,2,-
GC-113409,2,Honestly just not impressed with the food quality.
GC-103668,5,"The food quality is great, just need to cut back on spending until my finances recover."
GC-111855,8,no
GC-108414,7,Overpriced compared to just buying groceries myself.
GC-101669,6,Found a cheaper service that I like better.
GC-105103,8,"The food quality is great, just need to cut back on spending until my finances recover."
GC-104886,7,Way too expensive for what you get. Not worth it.
GC-109655,8,"Too many ingredients to prep, more work than it's worth."
GC-102285,6,Way too expensive for what you get. Not worth it.
GC-112074,3,Packaging waste was excessive and it's not worth the price.
GC-107390,7,The meals just weren't very tasty. Cancelling for good.
GC-101779,4,The meals just weren't very tasty. Cancelling for good.
GC-114193,2,Packaging waste was excessive and it's not worth the price.
GC-111907,4,Portions were small and the seasoning was bland. Disappointed.
GC-106632,1,Honestly just not impressed with the food quality.
GC-100007,8,Packaging waste was excessive and it's not worth the price.
GC-106308,5,The meals just weren't very tasty. Cancelling for good.
GC-102855,8,Portions were small and the seasoning was bland. Disappointed.
GC-109741,6,Quality went downhill and I'm done with it. Never again.
GC-109619,4,Way too expensive for what you get. Not worth it.
GC-114100,5,I absolutely love these meals but money is really tight right now and I can't afford it this month.
GC-107542,7,Between jobs at the moment so I have to watch my budget. Loved the organic ingredients.
GC-110903,8,Portions were small and the seasoning was bland. Disappointed.
GC-113186,3,Quality went downhill and I'm done with it. Never again.
GC-113844,5,"The food quality is great, just need to cut back on spending until my finances recover. Hope to be back soon!"
GC-111193,2,Packaging waste was excessive and it's not worth the price.
GC-102180,5,"The food quality is great, just need to cut back on spending until my finances recover. Will resubscribe when things settle."
GC-111891,4,.
GC-102931,4,Portions were small and the seasoning was bland. Disappointed.
GC-112296,1,"My schedule got really hectic this semester, just too busy to keep up. Great variety though. Looking forward to returning."
GC-102398,7,The meals just weren't very tasty. Cancelling for good.
GC-101729,2,Found a cheaper service that I like better.
GC-108905,2,The recipes got really repetitive and boring after a while.
GC-104479,8,Found a cheaper service that I like better.
GC-112512,1,Some family circumstances mean I have to pause temporarily. The food was wonderful. I'll come back once I can.
GC-111007,8,The recipes got really repetitive and boring after a while.
GC-101573,6,Way too expensive for what you get. Not worth it.
GC-111525,6,Quality went downhill and I'm done with it. Never again.
GC-109838,7,Between jobs at the moment so I have to watch my budget. Loved the organic ingredients. I'll come back once I can.
GC-103602,3,Portions were small and the seasoning was bland. Disappointed.
GC-103062,7,Portions were small and the seasoning was bland. Disappointed.
GC-103138,3,Portions were small and the seasoning was bland. Disappointed.
GC-102158,7,Found a cheaper service that I like better.
GC-103532,5,Quality went downhill and I'm done with it. Never again.
GC-113334,7,The meals just weren't very tasty. Cancelling for good.
GC-114208,1,Portions were small and the seasoning was bland. Disappointed.
GC-108873,2,Found a cheaper service that I like better.
GC-109463,8,none
GC-105401,2,Packaging waste was excessive and it's not worth the price.
GC-105430,7,Portions were small and the seasoning was bland. Disappointed.
GC-113415,8,Some family circumstances mean I have to pause temporarily. The food was wonderful.
GC-108280,1,Money's tight after some unexpected bills. The recipes are wonderful though.
GC-101942,7,"Too many ingredients to prep, more work than it's worth."
GC-113722,3,Honestly just not impressed with the food quality.
GC-102706,3,The recipes got really repetitive and boring after a while.
GC-106791,8,The recipes got really repetitive and boring after a while.
GC-103246,7,The meals just weren't very tasty. Cancelling for good.
GC-110620,5,The recipes got really repetitive and boring after a while.
GC-111376,1,Portions were small and the seasoning was bland. Disappointed.
GC-103039,8,Overpriced compared to just buying groceries myself.
GC-104494,7,no comment
GC-102704,1,n/a
GC-112115,4,Overpriced compared to just buying groceries myself.
GC-104005,6,Honestly just not impressed with the food quality.
GC-108813,6,done
GC-112960,1,I absolutely love these meals but money is really tight right now and I can't afford it this month. Looking forward to returning.
GC-103746,3,Money's tight after some unexpected bills. The recipes are wonderful though.
GC-112531,4,done
GC-102281,2,Overpriced compared to just buying groceries myself.
GC-107389,6,The meals just weren't very tasty. Cancelling for good.
GC-107236,5,Honestly just not impressed with the food quality.
GC-111878,7,Portions were small and the seasoning was bland. Disappointed.
GC-100084,5,Portions were small and the seasoning was bland. Disappointed.
GC-112367,8,"Too many ingredients to prep, more work than it's worth."
GC-113902,7,The meals just weren't very tasty. Cancelling for good.
GC-102527,8,Honestly just not impressed with the food quality.
GC-105817,2,Overpriced compared to just buying groceries myself.
GC-109025,2,Portions were small and the seasoning was bland. Disappointed.
GC-100825,2,"Too many ingredients to prep, more work than it's worth."
GC-100876,5,Way too expensive for what you get. Not worth it.
GC-105538,3,The meals just weren't very tasty. Cancelling for good.
GC-112892,5,Overpriced compared to just buying groceries myself.
GC-105989,6,Going through a medical treatment and can't manage cooking at the moment. Loved the quality. Will resubscribe when things settle.
GC-108947,4,The recipes got really repetitive and boring after a while.
GC-107926,7,Found a cheaper service that I like better.
GC-111269,6,Honestly just not impressed with the food quality.
GC-108853,6,The recipes got really repetitive and boring after a while.
GC-113849,2,Out of town for work for a while. Loved the variety and seasoning. Will resubscribe when things settle.
GC-108840,1,Quality went downhill and I'm done with it. Never again.
GC-108966,7,no comment
GC-101525,6,"My schedule got really hectic this semester, just too busy to keep up. Great variety though. Looking forward to returning."
GC-107242,3,The meals just weren't very tasty. Cancelling for good.
GC-109444,5,"Too many ingredients to prep, more work than it's worth."
GC-111707,4,Money's tight after some unexpected bills. The recipes are wonderful though.
GC-100631,8,Started a new job with crazy hours and I have no time to cook right now. The meals were delicious. Looking forward to returning.
GC-107232,1,I absolutely love these meals but money is really tight right now and I can't afford it this month.
GC-113540,5,n/a
GC-103369,2,Overpriced compared to just buying groceries myself.
GC-106907,4,Way too expensive for what you get. Not worth it.
GC-100088,1,Portions were small and the seasoning was bland. Disappointed.
GC-113392,1,Portions were small and the seasoning was bland. Disappointed.
GC-105613,6,Portions were small and the seasoning was bland. Disappointed.
GC-108424,1,no
GC-103567,8,The recipes got really repetitive and boring after a while.
GC-109813,6,Found a cheaper service that I like better.
GC-100563,4,Found a cheaper service that I like better.
GC-102394,3,The recipes got really repetitive and boring after a while.
GC-105788,5,Honestly just not impressed with the food quality.
GC-104931,4,Quality went downhill and I'm done with it. Never again.
GC-111473,2,Packaging waste was excessive and it's not worth the price.
GC-104253,6,The recipes got really repetitive and boring after a while.
GC-104236,5,The meals just weren't very tasty. Cancelling for good.
GC-106105,2,New shift means I'm never home for dinner. I really enjoyed the recipes.
GC-103760,1,Portions were small and the seasoning was bland. Disappointed.
GC-108278,7,Honestly just not impressed with the food quality.
GC-109602,3,I absolutely love these meals but money is really tight right now and I can't afford it this month.
GC-103299,4,Money's tight after some unexpected bills. The recipes are wonderful though. Will resubscribe when things settle.
GC-100751,8,The recipes got really repetitive and boring after a while.
GC-103052,5,Packaging waste was excessive and it's not worth the price.
GC-101380,5,Honestly just not impressed with the food quality.
GC-107350,7,"My schedule got really hectic this semester, just too busy to keep up. Great variety though."
GC-102678,7,Portions were small and the seasoning was bland. Disappointed.
GC-104012,5,Way too expensive for what you get. Not worth it.
GC-100787,4,Way too expensive for what you get. Not worth it.
GC-100780,5,Found a cheaper service that I like better.
GC-100874,3,The recipes got really repetitive and boring after a while.
GC-103354,3,Some family circumstances mean I have to pause temporarily. The food was wonderful.
GC-109940,5,Honestly just not impressed with the food quality.
GC-101277,6,Overpriced compared to just buying groceries myself.
GC-105828,5,Money's tight after some unexpected bills. The recipes are wonderful though.
GC-102360,1,Overpriced compared to just buying groceries myself.
GC-111804,5,"Too many ingredients to prep, more work than it's worth."
GC-113275,4,Packaging waste was excessive and it's not worth the price.
GC-101444,5,Money's tight after some unexpected bills. The recipes are wonderful though.
GC-103228,5,Packaging waste was excessive and it's not worth the price.
GC-102891,4,Way too expensive for what you get. Not worth it.
GC-110875,4,Portions were small and the seasoning was bland. Disappointed.
GC-111325,6,Some family circumstances mean I have to pause temporarily. The food was wonderful. Will resubscribe when things settle.
GC-110639,8,Quality went downhill and I'm done with it. Never again.
GC-108185,2,Packaging waste was excessive and it's not worth the price.
GC-100315,4,The meals just weren't very tasty. Cancelling for good.
GC-108643,4,Way too expensive for what you get. Not worth it.
GC-103184,1,The recipes got really repetitive and boring after a while.
